name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East 1010 South,0,13829353,0,1,1,967.27,,,,tertiary,5,"LINESTRING (-114.2846000 42.5761967, -114.2856350 42.5762130, -114.2865470 42.5762150, -114.2868270 42.5762330, -114.2911470 42.5763040, -114.2915350 42.5762820, -114.2919660 42.5762410, -114.2923230 42.5761950, -114.2930130 42.5760540, -114.2946510 42.5756640, -114.2951090 42.5755690, -114.2955270 42.5754830, -114.2959640 42.5754220, -114.2960030 42.5754200, -114.2962230 42.5754070)",auto,1,0,,
East 1010 South,1,13829353,1,0,1,967.27,,,,tertiary,5,"LINESTRING (-114.2962230 42.5754070, -114.2960030 42.5754200, -114.2959640 42.5754220, -114.2955270 42.5754830, -114.2951090 42.5755690, -114.2946510 42.5756640, -114.2930130 42.5760540, -114.2923230 42.5761950, -114.2919660 42.5762410, -114.2915350 42.5762820, -114.2911470 42.5763040, -114.2868270 42.5762330, -114.2865470 42.5762150, -114.2856350 42.5762130, -114.2846000 42.5761967)",auto,1,0,,
South 100 East,2,13829377,2,3,1,2921.45,,,,unclassified,15,"LINESTRING (-114.5019400 42.6365920, -114.5019120 42.6368440, -114.5019080 42.6371640, -114.5019230 42.6397200, -114.5019220 42.6399120, -114.5019060 42.6405260, -114.5019180 42.6418950, -114.5019140 42.6430440, -114.5019320 42.6448040, -114.5019290 42.6460290, -114.5019360 42.6463420, -114.5019310 42.6469310, -114.5019330 42.6474050, -114.5019350 42.6478120, -114.5019330 42.6484280, -114.5019420 42.6503510, -114.5019620 42.6514840, -114.5019460 42.6524640, -114.5019560 42.6554690, -114.5019740 42.6572750, -114.5019530 42.6586920, -114.5019540 42.6587770, -114.5019680 42.6603110, -114.5019600 42.6609670, -114.5019670 42.6613650, -114.5019630 42.6623550, -114.5019617 42.6629000)",auto,1,0,,
South 100 East,3,13829377,3,2,1,2921.45,,,,unclassified,15,"LINESTRING (-114.5019617 42.6629000, -114.5019630 42.6623550, -114.5019670 42.6613650, -114.5019600 42.6609670, -114.5019680 42.6603110, -114.5019540 42.6587770, -114.5019530 42.6586920, -114.5019740 42.6572750, -114.5019560 42.6554690, -114.5019460 42.6524640, -114.5019620 42.6514840, -114.5019420 42.6503510, -114.5019330 42.6484280, -114.5019350 42.6478120, -114.5019330 42.6474050, -114.5019310 42.6469310, -114.5019360 42.6463420, -114.5019290 42.6460290, -114.5019320 42.6448040, -114.5019140 42.6430440, -114.5019180 42.6418950, -114.5019060 42.6405260, -114.5019220 42.6399120, -114.5019230 42.6397200, -114.5019080 42.6371640, -114.5019120 42.6368440, -114.5019400 42.6365920)",auto,1,0,,
,4,13830986,4,5,1,120.38,,,,motorway,1,"LINESTRING (-114.4750260 42.6528110, -114.4743560 42.6523110, -114.4740020 42.6520340)",auto,0,1,,
,5,13831624,6,7,1,484.62,,,,motorway,1,"LINESTRING (-114.3012980 42.5783100, -114.3009070 42.5781280, -114.3000890 42.5777950, -114.2996350 42.5775990, -114.2992040 42.5773870, -114.2988000 42.5771440, -114.2981050 42.5766800, -114.2979080 42.5765720, -114.2976810 42.5764630, -114.2973670 42.5763430, -114.2971200 42.5762810, -114.2968230 42.5762360, -114.2966420 42.5762160, -114.2965460 42.5762050, -114.2962520 42.5761910)",auto,0,1,,
,6,13832858,8,9,1,627.92,1,,,motorway,1,"LINESTRING (-114.2891030 42.5767360, -114.2913980 42.5769690, -114.2917000 42.5770180, -114.2920460 42.5770910, -114.2925340 42.5772230, -114.2929820 42.5773910, -114.2935260 42.5776280, -114.2939160 42.5778110, -114.2943520 42.5780010, -114.2946850 42.5781210, -114.2949210 42.5781880, -114.2952260 42.5782430, -114.2954830 42.5782660, -114.2958890 42.5782870, -114.2963300 42.5782760)",auto,0,1,,
Kuhn Drive,7,13833024,10,11,1,301.55,,,,unclassified,15,"LINESTRING (-114.4398572 42.6501805, -114.4403134 42.6501571, -114.4410706 42.6501473, -114.4416370 42.6501450, -114.4431180 42.6501366, -114.4435346 42.6501272)",auto,1,0,,
Kuhn Drive,8,13833024,11,10,1,301.55,,,,unclassified,15,"LINESTRING (-114.4435346 42.6501272, -114.4431180 42.6501366, -114.4416370 42.6501450, -114.4410706 42.6501473, -114.4403134 42.6501571, -114.4398572 42.6501805)",auto,1,0,,
,9,13833162,12,13,1,321.07,,,,tertiary,5,"LINESTRING (-114.4049780 42.6004400, -114.4050140 42.6004320, -114.4053240 42.6004280, -114.4056460 42.6004730, -114.4058350 42.6005250, -114.4068760 42.6009250, -114.4085180 42.6015760)",auto,1,0,,
