name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,-114.2846,42.5761967,,,boundary node created by osm2gmns
,1,129392820,,,,,,,-114.296223,42.575407,,,
,2,129393696,,,,,,,-114.50194,42.636592,,,
,3,,,,,,,,-114.5019617,42.6629,,,boundary node created by osm2gmns
,4,129440267,,,,,,,-114.475026,42.652811,,,
,5,129440273,,,,,,,-114.474002,42.652034,,,
,6,129455802,motorway_junction,,,,,,-114.301298,42.57831,,,
,7,129455838,,,,,,,-114.296252,42.576191,,,
,8,129484543,motorway_junction,,,,,,-114.289103,42.576736,,,
,9,129484580,,,,,,,-114.29633,42.578276,,,
,10,129488838,,,,,,,-114.4398572,42.6501805,,,
,11,129488847,,,,,,,-114.4435346,42.6501272,,,
,12,129491169,,,,,,,-114.404978,42.60044,,,
,13,129491181,,,,,,,-114.408518,42.601576,,,
,14,129455840,,,,,,,-114.29533,42.576247,,,
,15,129498285,,,,,,,-114.423737,42.603361,,,
,16,129498228,,,,,,,-114.411137,42.60258,,,
,17,129498281,,,,,,,-114.427962,42.60392,,,
,18,129517705,,,,,,,-114.383851,42.634689,,,
,19,129425476,,,,,,,-114.37156,42.629907,,,
,20,129447303,,,,,,,-114.423716,42.647656,,,
,21,129506516,,,,,,,-114.4403671,42.647661,,,
,22,129658084,,,,,,,-114.442625,42.647797,,,
,23,129587964,,,,,,,-114.437158,42.6455,,,
,24,129483248,,,,,,,-114.39849,42.605575,,,
,25,129570148,,,,,,,-114.382331,42.618008,,,
,26,129570233,,,,,,,-114.393174,42.62076,,,
,27,129651493,,,,,,,-114.518379,42.637123,,,
,28,129681426,traffic_signals,,signal,,,,-114.4522373,42.608953,,,
,29,129577587,traffic_signals,,signal,,,,-114.4518827,42.6089069,,,
,30,1842144775,,,,,,,-114.3813845,42.6195485,,,
,31,129650364,,,,,,,-114.518378,42.651646,,,
,32,,,,,,,,-114.5835,42.651858,,,boundary node created by osm2gmns
,33,129618801,,,,,,,-114.400211,42.598978,,,
,34,129604128,,,,,,,-114.38495,42.652996,,,
,35,,,,,,,,-114.3847355,42.6629,,,boundary node created by osm2gmns
,36,129668100,,,,,,,-114.296375,42.579037,,,
,37,,,,,,,,-114.2846,42.5768764,,,boundary node created by osm2gmns
,38,129671351,,,,,,,-114.294989,42.591453,,,
,39,129671387,,,,,,,-114.29637,42.590331,,,
,40,129434713,,,,,,,-114.368519,42.643949,,,
,41,,,,,,,,-114.3648602,42.6629,,,boundary node created by osm2gmns
,42,129425620,,,,,,,-114.380669,42.620328,,,
,43,,,,,,,,-114.5184002,42.6629,,,boundary node created by osm2gmns
,44,129652030,,,,,,,-114.52033,42.633201,,,
,45,131380326,motorway_junction,,,,,,-114.5806995,42.5636981,,,
,46,131380349,,,,,,,-114.5780185,42.5634972,,,
,47,131380387,,,,,,,-114.5747425,42.5591032,,,
,48,131447621,,,,,,,-114.4595993,42.5486987,,,
,49,131386318,,,,,,,-114.4602205,42.5490941,,,
,50,131625725,,,,,,,-114.479627,42.527483,,,
,51,131431132,,,,,,,-114.4893757,42.5276113,,,
